% The first three columns are year, month and day. The remaining 12 columns are average windspeeds in knots at 12 locations in Ireland on that day.
% Start by using the 'loadtxt' function from numpy to read the data into an array.
0,1,1,6.13,1.63,5.41,1.08,2.54,1.00,8.50,2.42,4.58,6.34,9.17,16.71
0,1,2,2.62,0.54,6.71,2.88,5.63,1.13,7.75,1.87,5.83,5.41,8.17,13.29
69,1,3,4.17,2.37,6.29,1.67,4.00,2.37,7.96,5.41,5.04,7.25,11.96,16.17
69,1,4,6.00,6.87,7.67,4.63,9.50,nan,11.25,6.87,8.58,11.17,16.08,17.25
69,1,5,10.50,8.38,7.71,3.50,5.41,2.42,7.67,5.37,4.17,5.63,12.17,17.12
69,1,6,14.25,11.12,19.50,7.17,11.08,5.04,10.63,6.92,7.50,8.92,6.08,12.50
69,1,7,22.34,18.16,18.21,nan,15.00,7.25,13.46,13.21,10.96,13.21,17.33,26.54
0,1,8,11.79,13.46,8.46,5.21,10.71,5.50,8.38,6.13,7.87,nan,12.62,19.95
69,1,9,22.25,16.00,20.91,nan,18.21,13.04,14.92,14.54,13.67,15.75,18.84,26.75
0,1,10,9.33,3.29,15.21,6.00,5.88,5.25,12.04,3.96,7.67,9.21,6.04,nan
69,1,11,13.29,18.50,9.33,3.71,12.62,5.09,4.42,8.38,5.91,5.66,11.00,10.04
0,1,12,9.71,7.12,14.33,5.75,10.08,6.04,10.29,11.08,10.17,9.83,13.00,27.71
69,1,13,4.50,nan,4.63,2.13,3.54,0.42,3.00,0.46,2.54,4.25,nan,11.46
69,1,14,11.63,20.38,5.58,3.92,9.38,3.67,6.00,5.25,4.88,4.83,10.58,7.62
69,1,15,18.91,18.88,12.33,nan,13.33,9.08,4.12,14.33,6.04,4.75,19.46,7.75
0,1,16,16.33,13.29,14.04,11.54,15.09,9.96,17.29,12.42,17.08,15.54,18.46,24.25
0,1,17,25.08,25.17,17.79,10.50,16.96,11.04,14.04,11.83,nan,13.08,14.37,22.83
69,1,18,19.17,22.58,14.33,14.46,21.12,11.00,nan,12.75,15.96,9.71,19.38,9.96
69,1,19,9.59,13.37,nan,3.08,8.71,nan,8.42,4.67,6.34,6.54,10.50,15.87
69,1,20,18.12,16.21,19.21,8.46,11.96,9.87,12.54,11.92,9.38,11.12,16.62,18.63
69,1,21,10.25,nan,11.79,5.04,3.54,3.17,5.04,6.42,2.62,6.92,12.54,12.00
69,1,22,4.00,6.63,4.79,1.71,2.83,0.33,3.42,1.33,nan,2.37,3.46,7.46
0,1,23,11.67,17.08,10.83,6.71,13.25,7.38,3.42,10.67,8.12,8.25,17.41,15.71
69,1,24,17.41,17.16,12.96,9.17,11.46,8.42,8.92,12.62,8.63,13.79,22.04,18.25
0,1,25,19.08,20.25,14.83,9.75,15.04,11.25,14.09,15.67,12.29,17.71,21.34,19.62
69,1,26,20.54,17.41,16.71,13.21,16.17,9.38,12.33,11.58,11.75,14.88,14.92,19.12
69,1,27,18.29,13.59,15.34,11.12,11.87,7.58,12.46,nan,9.17,14.04,10.13,14.00
